GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2022101611,2022-10-16,4,4,24,PHI,DAL,2,1,56,,0,,0,"(4:24) 1-J.HURTS UP THE MIDDLE TO DAL 43 FOR 1 YARD (97-O.ODIGHIZUWA). PENALTY ON DAL-97-O.ODIGHIZUWA, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT DAL 44 - NO PLAY.",0,,,2022,1,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,1,0,0,CENTER,44,OPP,1,DAL,1,"DEFENSIVE OFFSIDE",5
2022101611,2022-10-16,4,7,2,PHI,DAL,0,0,99,,1,,0,"TWO-POINT CONVERSION ATTEMPT. 26-M.SANDERS RUSHES UP THE MIDDLE. ATTEMPT FAILS.",0,,,2022,0,"UNDER CENTER","TWO-POINT CONVERSION",0,0,0,0,,0,0,0,,0,0,0,0,1,0,,1,OPP,0,,0,,0
2022101611,2022-10-16,4,7,6,PHI,DAL,1,7,93,,0,,0,"(7:06) (NO HUDDLE, SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 6-D.SMITH FOR 7 YARDS, TOUCHDOWN. PENALTY ON DAL-7-T.DIGGS, UNSPORTSMANLIKE CONDUCT, 1 YARD, ENFORCED BETWEEN DOWNS.",0,,,2022,7,"NO HUDDLE SHOTGUN",PASS,0,1,0,1,"SHORT RIGHT",0,0,0,,0,0,0,1,0,0,,7,OPP,1,DAL,0,"UNSPORTSMANLIKE CONDUCT",1
2022101611,2022-10-16,4,7,41,PHI,DAL,2,10,71,,1,,0,"(7:41) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 11-A.BROWN TO DAL 7 FOR 22 YARDS (11-M.PARSONS).",0,,,2022,22,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,29,OPP,0,,0,,0
2022101611,2022-10-16,4,8,16,PHI,DAL,1,10,71,,0,,0,"(8:16) (SHOTGUN) 26-M.SANDERS RIGHT TACKLE TO DAL 29 FOR NO GAIN (90-D.LAWRENCE).",0,,,2022,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT TACKLE",29,OPP,0,,0,,0
2022101611,2022-10-16,4,8,54,PHI,DAL,3,1,69,,1,,0,"(8:54) (NO HUDDLE) 1-J.HURTS UP THE MIDDLE TO DAL 29 FOR 2 YARDS (6-D.WILSON).",0,,,2022,2,"NO HUDDLE",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,31,OPP,0,,0,,0
2022101611,2022-10-16,4,9,18,PHI,DAL,2,4,66,,0,,0,"(9:18) (SHOTGUN) 1-J.HURTS RIGHT END TO DAL 31 FOR 3 YARDS (98-Q.BOHANNA).",0,,,2022,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT END",34,OPP,0,,0,,0
2022101611,2022-10-16,1,0,46,PHI,DAL,3,12,82,,0,,0,"(:46) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 11-A.BROWN TO DAL 10 FOR 8 YARDS (27-J.KEARSE, 42-A.BARR).",0,,,2022,8,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,18,OPP,0,,0,,0
2022101611,2022-10-16,1,0,53,PHI,DAL,2,12,82,,0,,0,"(:53) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE SHORT RIGHT. THROWN AWAY FROM OUTSIDE THE POCKET.",0,,,2022,0,SHOTGUN,PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,18,OPP,0,,0,,0
2022101611,2022-10-16,1,1,33,PHI,DAL,1,10,84,,0,,0,"(1:33) (SHOTGUN) 1-J.HURTS SACKED AT DAL 18 FOR -2 YARDS (99-C.GOLSTON).",0,,,2022,-2,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,0,,16,OPP,0,,0,,0
